#args=Namespace(maxiter=20, mbsize=5000, msr=['4', '5', '6', '8', '10', '11', '13', '15'], n_local_trials=1, ncheckins=2, nthreads=64, prior=0.1, skip_skl=True, tol=1e-05)
#Name	k	MC_KMplusplus_time	MC_KMpp_and_LSpp_time	MC_KM++_MSR_Time4	MC_KMLS++_MSR_Time4	MC_KM++_MSR_Time5	MC_KMLS++_MSR_Time5	MC_KM++_MSR_Time6	MC_KMLS++_MSR_Time6	MC_KM++_MSR_Time8	MC_KMLS++_MSR_Time8	MC_KM++_MSR_Time10	MC_KMLS++_MSR_Time10	MC_KM++_MSR_Time11	MC_KMLS++_MSR_Time11	MC_KM++_MSR_Time13	MC_KMLS++_MSR_Time13	MC_KM++_MSR_Time15	MC_KMLS++_MSR_Time15
tiny	3	0.015478849411010742	0.11368322372436523	0.02140665054321289	0.08186078071594238	0.011838674545288086	0.060770511627197266	0.011137008666992188	0.05478549003601074	0.010747432708740234	0.04908943176269531	0.013047456741333008	0.06455373764038086	0.012014389038085938	0.054856061935424805	0.011735677719116211	0.06903481483459473	0.010998725891113281	0.04744911193847656
tiny	10	0.04247546195983887	0.2931220531463623	0.04407310485839844	0.17812418937683105	0.04203438758850098	0.19031190872192383	0.04122757911682129	0.2673053741455078	0.04383349418640137	0.14974045753479004	0.04485893249511719	0.18233847618103027	0.04204702377319336	0.17432475090026855	0.04283428192138672	0.15782380104064941	0.04046034812927246	0.15167593955993652
tiny	25	0.10883975028991699	0.6666924953460693	0.11333465576171875	0.39115142822265625	0.10571169853210449	0.4010636806488037	0.10475349426269531	0.3473019599914551	0.10253286361694336	0.3471074104309082	0.11112046241760254	0.3899199962615967	0.10674715042114258	0.3801302909851074	0.10721659660339355	0.36455559730529785	0.10634517669677734	0.34073591232299805
tiny	50	0.21304631233215332	1.121363878250122	0.2174205780029297	0.6720781326293945	0.21174049377441406	0.6091511249542236	0.20502924919128418	0.5518438816070557	0.24750971794128418	0.54524827003479	0.22885584831237793	0.6799461841583252	0.21088099479675293	0.7174432277679443	0.21109962463378906	0.6378765106201172	0.2076265811920166	0.5984008312225342
tiny	100	0.42781972885131836	1.9152719974517822	0.43427205085754395	1.1908130645751953	0.42415356636047363	1.157763957977295	0.41329407691955566	0.9678599834442139	0.44299983978271484	0.933180570602417	0.44075608253479004	1.2154467105865479	0.4581596851348877	1.1012861728668213	0.4221768379211426	1.1533796787261963	0.40755391120910645	1.0232386589050293
PBMC	3	0.0893092155456543	0.44563937187194824	0.07553958892822266	0.3782010078430176	0.05236625671386719	0.32118868827819824	0.051062583923339844	0.29990577697753906	0.045716285705566406	0.26915788650512695	0.0702829360961914	0.37284088134765625	0.06541800498962402	0.3029172420501709	0.05571866035461426	0.3108055591583252	0.11724662780761719	0.6300809383392334
PBMC	10	0.15743255615234375	1.1349732875823975	0.22518491744995117	1.0078554153442383	0.17147302627563477	0.8588762283325195	0.17072415351867676	0.8027031421661377	0.14464616775512695	0.7557740211486816	0.21359467506408691	0.9987838268280029	0.1919262409210205	0.8879258632659912	0.19158291816711426	0.8460814952850342	0.3319056034088135	1.591747522354126
PBMC	25	0.41637253761291504	2.8696510791778564	0.5276379585266113	2.2702176570892334	0.43647336959838867	1.9287309646606445	0.39687633514404297	1.7555184364318848	0.3706188201904297	1.5766589641571045	0.545529842376709	2.3477084636688232	0.4605991840362549	1.9179999828338623	0.4524252414703369	2.402777671813965	1.051694631576538	4.4440202713012695
PBMC	50	0.9381051063537598	7.0957348346710205	1.3473331928253174	5.176712512969971	1.209123134613037	4.542555093765259	1.0614032745361328	4.119129419326782	1.0017173290252686	3.710672616958618	1.4515419006347656	5.603962182998657	1.4012627601623535	4.774396896362305	1.348318338394165	4.931953191757202	1.9904272556304932	8.21222448348999
PBMC	100	2.1511781215667725	13.967390298843384	2.8157427310943604	10.624154329299927	2.419865846633911	10.558602094650269	6.1010518074035645	19.540950059890747	6.304337024688721	31.85242772102356	14.998656272888184	22.090147495269775	4.88135027885437	21.288147687911987	7.743417739868164	20.80860137939453	8.279298305511475	30.75202202796936
Cao4m	3	8.992014646530151	47.49419116973877	8.434290885925293	40.89130449295044	9.767395257949829	36.64459705352783	6.302249193191528	26.332037210464478	7.463499307632446	31.865171909332275	7.726147413253784	35.3523371219635	4.766190528869629	28.833911180496216	10.007121086120605	35.5817289352417	17.325302839279175	74.65776681900024
Cao4m	10	32.38108491897583	151.9836449623108	28.701367378234863	101.64341640472412	24.59060001373291	69.27157640457153	21.625288724899292	77.49297332763672	20.11809206008911	75.69573616981506	30.634013652801514	122.76773977279663	28.230003833770752	94.73005414009094	26.623180627822876	91.7409451007843	59.56538224220276	212.37402033805847
Cao4m	25	61.05920457839966	358.9864308834076	69.97071242332458	231.66682291030884	80.71331787109375	166.34791946411133	42.40209341049194	134.31909012794495	46.579893589019775	135.35617184638977	66.07276177406311	180.32682967185974	51.99061965942383	161.9067838191986	55.88056015968323	160.26739597320557	101.9496386051178	338.0559525489807
Cao4m	50	119.50957465171814	535.7390298843384	115.22267842292786	350.6690921783447	98.67636799812317	317.4262914657593	92.29901432991028	259.2018439769745	85.34679198265076	252.7785828113556	105.73795294761658	362.95984268188477	107.25738549232483	314.6072211265564	111.14921951293945	310.01269340515137	200.06744718551636	640.4418280124664
