##cmd=OMP_NUM_THREADS=32 python3 bigtime_exp.py -p32 --tol 1e-4 > btop32.1e-4.out 2> btop32.1e-4.err
#Name	k	SKL KM++ time	SKL KM++ cost	MC KM++ time	MC KM++ cost	MC KM++ plus LS++	MC KM++ plus LS++ runtime	SKL KM time	SKL KM cost	MC MBKM time	MC MBKM cost	MC EMKM time	MC EMKM cost
pbmc	3	9.315690040588379	1.1054644167634258e+17	0.1688523292541504	347627088.0	288958779.0	0.753615140914917	2.4337093830108643	186502144.13660643	10.579864740371704	183571456.0	7.026585102081299	183492960.0
pbmc	10	25.711753368377686	9.696673304864144e+16	0.38704419136047363	261442330.0	256316274.0	2.033308744430542	18.646490812301636	142462848.7488629	22.360869884490967	142781744.0	56.037381410598755	142573760.0
pbmc	25	64.65265011787415	7.916578840110187e+16	0.9156999588012695	235821623.0	227748845.0	5.042834520339966	31.815874814987183	128277790.47061612	44.56791019439697	129398096.0	88.99858331680298	128595448.0
pbmc	50	118.74101400375366	8.897408137250117e+16	1.6117939949035645	226110464.0	211072642.0	9.807326316833496	45.34391450881958	120215366.17023131	71.86389541625977	122420112.0	193.72389125823975	120483224.0
pbmc	100	289.7019257545471	6.639524528720861e+16	3.2656819820404053	208796806.0	203306062.0	19.067341089248657	82.88542699813843	115691639.57334198	116.43888306617737	119451280.0	275.5095100402832	115486528.0
Cao4m	3	1194.8985695838928	8.433432348365242e+18	10.087033987045288	24657319528.0	24657319528.0	51.98430848121643	0.0007426738739013672	1e+308	512.4656581878662	19580131328.0	934.3780047893524	19550953472.0
Cao4m	10	4219.622533082962	7.507434394161722e+18	33.121846199035645	22664353069.0	22664353069.0	163.59404015541077	0.000537872314453125	1e+308	869.3375332355499	15322228736.0	3373.192346572876	15256585216.0
Cao4m	25	9856.701624631882	6.31779944850335e+18	99.66873717308044	21196950878.0	19133010646.0	439.74232935905457	0.0005960464477539062	1e+308	1816.608478307724	13791883264.0	13926.935663461685	13020839936.0
