#args=Namespace(dataset='cao4m', densify=False, hvg=-1, k=25, lspp=25, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0, topnorm=False)
#pref:.3747313.
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao4m	25	-1	SQRL2	1.0	25	1	False	10000	782.1440029144287	19763045638.0	-0.02602823442371889	2171.7986755371094	13461081088.0	-0.023008536566398105
cao4m	25	-1	JSM	1.0	25	1	False	10000	842.0377490520477	179716.14050103995	-0.040803457153378776	3493.5638580322266	150588.15625	-0.023779741569661787
cao4m	25	-1	JSD	1.0	25	1	False	10000	927.3528325557709	9144.46023358946	-0.050642358415674264	3406.0871758461	6383.37939453125	-0.009750791356719106
cao4m	25	-1	MKL	1.0	25	1	False	10000	768.7237524986267	35831.880015631905	-0.026668838848184377	2251.5830194950104	26344.6953125	0.007890878052014248
cao4m	25	-1	BHATTACHARYYA_METRIC	1.0	25	1	False	10000	630.587393283844	51713.55926033596	-0.028292854133491606
