#args=Namespace(dataset='pbmc', densify=False, hvg=-1, k=25, lspp=25, maxiter=50, mbsize=50000, msr=['3', '4', '5', '7', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0)
#pref:85482562.
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
pbmc	25	-1	SQRL2	1.0	25	1	False	50000	9.15776515007019	228505762.0	0.0891726198686477	331.33829832077026	128729000.0	0.10587841261176906
pbmc	25	-1	JSM	1.0	25	1	False	50000	12.014782667160034	3828.615618374248	0.08026889912694948	555.6170070171356	2911.20947265625	0.19362666127742242
pbmc	25	-1	JSD	1.0	25	1	False	50000	12.355967998504639	222.7860845279647	0.11758570419611943	537.9342775344849	125.81864166259766	0.17389714903151518
pbmc	25	-1	MKL	1.0	25	1	False	50000	10.459717512130737	925.0069840014912	0.10569041992377659	326.10066533088684	516.3775024414062	0.17341639707841136
pbmc	25	-1	BHATTACHARYYA_METRIC	1.0	25	1	False	50000	8.451501846313477	1288.3625457662047	0.0744245788285401	335.2579493522644	1154.67041015625	0.06605822146462395
pbmc	25	-1	COSINE_DISTANCE	1.0	25	1	False	50000	17.515079021453857	13618.045326888705	1.0044370197746355e-05	255.5310468673706	4101.3759765625	0.11122722521248944
