#args=Namespace(dataset='cao2m', densify=False, hvg=1000, k=25, lspp=0, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '9'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0, topnorm=False)
#pref:99978987.
#cao2m	HVGene1000	81.890944480896
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao2m	25	1000	SQRL2	1.0	0	1	False	10000	35.842511892318726	3807374122.0	0.006182475716452257	88.70660257339478	2277430272.0	0.018956487159000605
cao2m	25	1000	JSM	1.0	0	1	False	10000	35.66191363334656	368732.6625577725	0.011502506022296584	157.59520769119263	306539.0625	0.03191349870960934
cao2m	25	1000	JSD	1.0	0	1	False	10000	35.19673752784729	73652.24767003115	0.019838331912825635	161.10777735710144	48353.7421875	0.028172605345886673
cao2m	25	1000	MKL	1.0	0	1	False	10000	30.796801805496216	281105.9407058023	0.022063515343292702	135.79324412345886	194828.5	0.007297340913788074
cao2m	25	1000	BHATTACHARYYA_METRIC	1.0	0	1	False	10000	21.23308253288269	373379.42964031076	0.043438769323413846	67.62107753753662	326186.8125	0.131069183023082
cao2m	25	1000	TOTAL_VARIATION_DISTANCE	1.0	0	1	False	10000	24.7431800365448	372995.5296637275	0.04513863987561924
