#args=Namespace(dataset='pbmc', densify=False, hvg=500, k=50, lspp=25, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0)
#pref:42633174.
#pbmc	HVGene500	19.177554607391357
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
pbmc	50	500	SQRL2	1.0	25	1	False	10000	4.363726854324341	163838957.0	0.06135541104127467	11.77993655204773	93285504.0	0.07120148535959413
pbmc	50	500	JSM	1.0	25	1	False	10000	6.768184185028076	12766.167043745043	0.07141300403845807	21.930518627166748	9531.630859375	0.11334178487746491
pbmc	50	500	JSD	1.0	25	1	False	10000	6.6619367599487305	2440.4095254857093	0.08568867701520388	21.845622301101685	1334.32666015625	0.10885710731585675
pbmc	50	500	MKL	1.0	25	1	False	10000	5.573595285415649	10056.402232430875	0.08494219298450587	17.919039487838745	5517.2958984375	0.13878628934314832
pbmc	50	500	BHATTACHARYYA_METRIC	1.0	25	1	False	10000	4.326440095901489	13319.099906231633	0.07307789047361808	16.010504484176636	10576.2294921875	0.26726981763621666
pbmc	50	500	COSINE_DISTANCE	1.0	25	1	False	10000	4.354799747467041	11610.935644460218	0.04790187296404778	13.374415159225464	6693.15625	0.09602398914775018
