#args=Namespace(dataset='cao2m', densify=True, hvg=50, k=25, lspp=0, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '9', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0, topnorm=False)
#pref:59264061.
#cao2m	HVGene50	88.15590143203735
#cao2m	DensifyHVG50	0.4335482120513916
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao2m	25	50	SQRL2	1.0	0	1	True	10000	27.271997690200806	1433145472.0	0.01068315567	174.30	178.63294315338135	919366376.2048402	0.017508218356283755
cao2m	25	50	JSM	1.0	0	1	True	10000	62.55532383918762	466601.375	0.027409225542382457	177.06255507469177	397080.4240935	0.08372939345701602
cao2m	25	50	JSD	1.0	0	1	True	10000	23.311107873916626	123266.6171875	0.052501975518839436	178.0104501247406	80018.57831745455	0.08482094402519823
cao2m	25	50	MKL	1.0	0	1	True	10000	23.24656891822815	495262.9375	0.0261575637214901	195.0656201839447	332573.2112530973	0.06920768485996101
cao2m	25	50	BHATTACHARYYA_METRIC	1.0	0	1	True	10000	24.494543313980103	497718.28125	0.03867382977182922	174.83917617797852	402018.740502837	0.07977666095369666
cao2m	25	50	TOTAL_VARIATION_DISTANCE	1.0	0	1	True	10000	22.710716009140015	542612.4375	0.04663639554162878	173.98440384864807	542612.4335832326	0.027724074731090353
cao2m	25	50	COSINE_DISTANCE	1.0	0	1	True	10000	23.19387149810791	362682.6875	0.043404137867912126	179.24641966819763	296205.9601907645	0.06457164545638902
