#args=Namespace(dataset='cao2m', densify=False, hvg=500, k=25, lspp=25, maxiter=50, mbsize=50000, msr=['3', '4', '5', '7', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0, topnorm=True)
#pref:92368296.
#cao2m	HVGene500	126.52875351905823
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao2m	25	500	SQRL2	1.0	25	1	False	50000	43.12925744056702	2421698979.0	0.019683682349383707	56.11867141723633	1617221248.0	0.017861223368898196
cao2m	25	500	JSM	1.0	25	1	False	50000	57.7955756187439	359691.33291627787	0.015513543153597464	120.49958896636963	305152.40625	0.029501463378447088
cao2m	25	500	JSD	1.0	25	1	False	50000	58.28453516960144	71905.60804617172	0.015348891180467979	119.95159935951233	48822.65234375	0.02891260122869985
