#args=Namespace(dataset='pbmc', densify=False, hvg=500, k=25, lspp=25, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7'], n_local_trials=1, ncheckins=5, nthreads=20, prior=0.1, topnorm=False)
#pref:01968247.
#pbmc	HVGene500	12.521770000457764
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
pbmc	25	500	SQRL2	0.1	25	1	False	10000	1.9958415031433105	174683765.0	0.07950452980681832	4.632099628448486	99975104.0	0.10829101284368949
pbmc	25	500	JSM	0.1	25	1	False	10000	2.878490924835205	20202.68123313584	0.11894881000639425	9.198934555053711	15811.5361328125	0.3449800619036298
pbmc	25	500	JSD	0.1	25	1	False	10000	3.5187110900878906	6005.247281905264	0.13587512752037317	12.555036067962646	3703.75048828125	0.3459520192143819
pbmc	25	500	MKL	0.1	25	1	False	10000	3.1223819255828857	28924.502861216664	0.2122973636007843	11.856340408325195	19160.34765625	0.2726780248984116
pbmc	25	500	BHATTACHARYYA_METRIC	0.1	25	1	False	10000	2.3674657344818115	18794.336713315464	0.22150565803165376	7.189590215682983	15578.302734375	0.23903600030164168
