#args=Namespace(dataset='cao2m', densify=False, hvg=50, k=25, lspp=0, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '9'], n_local_trials=1, ncheckins=5, nthreads=20, prior=0.1, topnorm=False)
#pref:88636435.
#cao2m	HVGene50	72.85325717926025
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao2m	25	50	SQRL2	0.1	0	1	False	10000	8.832597255706787	1433145329.0	0.010683155671368507	8.192999839782715	919365632.0	0.017508218356283755
cao2m	25	50	JSM	0.1	0	1	False	10000	8.238441944122314	792627.8333237108	0.08834570010662118	13.882988214492798	670627.0	0.12654988643010437
cao2m	25	50	JSD	0.1	0	1	False	10000	7.99599027633667	317803.5141869541	0.08109876616796084	13.635953187942505	223466.125	0.12603159840541836
cao2m	25	50	MKL	0.1	0	1	False	10000	7.941978454589844	1557197.6443093196	0.06957828180803825	10.970919847488403	1204350.5	0.061664295649757374
cao2m	25	50	BHATTACHARYYA_METRIC	0.1	0	1	False	10000	7.534381151199341	833810.1361497669	0.07343188081448146	7.568811416625977	713320.1875	0.09596587945656972
cao2m	25	50	TOTAL_VARIATION_DISTANCE	0.1	0	1	False	10000	7.404989242553711	864064.7469463587	0.07264629781714249
