#args=Namespace(dataset='cao4m', densify=False, hvg=1000, k=25, lspp=25, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '9'], n_local_trials=1, ncheckins=5, nthreads=20, prior=0.01, topnorm=False)
#pref:98048013.
#cao4m	HVGene1000	2587.057970762253
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao4m	25	1000	SQRL2	0.01	25	1	False	10000	201.2898509502411	14583112453.0	-0.041244722677989364	154.28754305839539	9993101312.0	-0.02696805998558026
cao4m	25	1000	JSM	0.01	25	1	False	10000	233.40308332443237	2436930.5352218826	0.15430983919671185	326.80789518356323	2047099.625	0.1552234116683715
cao4m	25	1000	JSD	0.01	25	1	False	10000	250.23565697669983	1511526.543511428	0.11694877237125763	333.1624994277954	1059406.0	0.14481476391257386
cao4m	25	1000	MKL	0.01	25	1	False	10000	247.55102229118347	11001977.83011812	0.16526481862816098	259.3782320022583	7145660.0	0.11122320163689153
cao4m	25	1000	BHATTACHARYYA_METRIC	0.01	25	1	False	10000	195.62385988235474	2699042.1239780504	0.12833262710626983	153.39909648895264	2357964.0	0.18288489900649588
cao4m	25	1000	TOTAL_VARIATION_DISTANCE	0.01	25	1	False	10000	208.46959233283997	2686775.0152138663	0.12376580208380154	251.6403260231018	2686777.5	0.14847375405354027
