#args=Namespace(dataset='cao4m', densify=False, hvg=500, k=25, lspp=0, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '15'], n_local_trials=1, ncheckins=5, nthreads=20, prior=1.0)
#pref:21848412.
#cao4m	HVGene500	2224.272036075592
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao4m	25	500	SQRL2	1.0	0	1	False	10000	50.91538333892822	13367116826.0	-0.03669278318821207	126.5070858001709	8879192064.0	-0.026008445772868222
cao4m	25	500	JSM	1.0	0	1	False	10000	48.30861449241638	847924.077350419	-0.020983297356053265	232.14731216430664	681413.875	-0.022385510110371556
cao4m	25	500	JSD	1.0	0	1	False	10000	48.59523415565491	222053.34258307703	0.0683444821168763	235.67682695388794	121739.96875	-0.020449878487531006
cao4m	25	500	MKL	1.0	0	1	False	10000	40.530110120773315	797516.315310372	-0.04308098221540129	181.5470895767212	501997.34375	-0.042948750402761575
cao4m	25	500	BHATTACHARYYA_METRIC	1.0	0	1	False	10000	27.521676540374756	851692.0302004672	0.040074932589188615	117.04510235786438	711246.25	0.08890272316403373
cao4m	25	500	COSINE_DISTANCE	1.0	0	1	False	10000	28.56000828742981	1392469.7729544456	-0.010118659724175461	128.97518396377563	671791.75	0.07328662064890872
