#args=Namespace(dataset='pbmc', densify=True, hvg=1000, k=25, lspp=25, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7'], n_local_trials=1, ncheckins=5, nthreads=20, prior=0.01, topnorm=False)
#pref:03026463.
#pbmc	HVGene1000	24.656473875045776
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
pbmc	25	1000	SQRL2	0.01	25	1	True	10000	3.2230889797210693	191610259.0	0.08371360974594966	9.423741579055786	108927152.0	0.10842740106245627
pbmc	25	1000	JSM	0.01	25	1	True	10000	5.062726020812988	25516.535227053257	0.12245586116224653	22.040156364440918	21486.8515625	0.28650130208351443
pbmc	25	1000	JSD	0.01	25	1	True	10000	4.938739061355591	9757.375693492591	0.11373847361164939	22.034374952316284	6795.912109375	0.2898451019233954
pbmc	25	1000	MKL	0.01	25	1	True	10000	4.218974828720093	63023.94398355484	0.21450720338517287	19.771425485610962	48749.109375	0.19117831051985074
pbmc	25	1000	BHATTACHARYYA_METRIC	0.01	25	1	True	10000	3.1611835956573486	22527.34680155405	0.22815309623137361	13.162352085113525	19776.15234375	0.23000444828888908
