#args=Namespace(dataset='cao4m', densify=False, hvg=5000, k=25, lspp=0, maxiter=50, mbsize=10000, msr=['3', '4', '5', '7', '9'], n_local_trials=1, ncheckins=5, nthreads=20, prior=0.1, topnorm=False)
#pref:10146274.
#cao4m	HVGene5000	9673.421530008316
#Dataset	k	numberHVG	Measure	Prior	LocalsearchRounds	NumLocalTrials	Densified	MinibatchSize	KmeansplusplusTime	KmeansplusplusCost	KMeansplusplusARI	KMeansTime	KMeansCost	KMeansARI
cao4m	25	5000	SQRL2	0.1	0	1	False	10000	237.29649376869202	18762877126.0	-0.03521349730105754	604.0609319210052	12485386240.0	-0.0192008436756726
cao4m	25	5000	JSM	0.1	0	1	False	10000	208.2781023979187	1759954.2789188577	0.02531104980688157	1312.512088060379	1390107.875	0.09484551194263015
cao4m	25	5000	JSD	0.1	0	1	False	10000	217.10244822502136	793179.5651258454	0.09786791125795703	1318.9809730052948	482758.96875	0.0675130968284328
cao4m	25	5000	MKL	0.1	0	1	False	10000	172.75397968292236	3737618.4372667074	0.047574265595548455	965.9933569431305	2123086.0	0.0264904113956006
cao4m	25	5000	BHATTACHARYYA_METRIC	0.1	0	1	False	10000	134.34286427497864	1720338.1812822698	0.04240182260856969	577.8231163024902	1541793.0	0.16831625846363213
cao4m	25	5000	TOTAL_VARIATION_DISTANCE	0.1	0	1	False	10000	147.76953506469727	1741228.229808405	0.026819491015759953
