#args=Namespace(maxiter=20, mbsize=5000, msr=['4', '5', '6', '7', '8', '10', '11', '12'], n_local_trials=1, ncheckins=5, nthreads=16, prior=0.1, skip_skl=False, tol=1e-05)
#Name	k	SKL_KM++_time	SKL_KM++_cost	MC_KM++_time	MC_KM++_cost	MC_KM++_and_LS++_time	MC_KM++LS++_cost	nthreads	MC_KM++_MSR_Time4	MC_KM++_MSR4_Cost	MC_KMLS++_MSR_Time4	MC_KMLS++_MSR4_Cost	MC_KM++_MSR_Time5	MC_KM++_MSR5_Cost	MC_KMLS++_MSR_Time5	MC_KMLS++_MSR5_Cost	MC_KM++_MSR_Time6	MC_KM++_MSR6_Cost	MC_KMLS++_MSR6_Time	MC_KMLS++_MSR6_Cost	MC_KM++_MSR_Time7	MC_KM++_MSR7_Cost	MC_KMLS++_MSR_Time7	MC_KMLS++_MSR7_Cost	MC_KM++_MSR_Time8	MC_KM++_MSR8_Cost	MC_KMLS++_MSR_Time8	MC_KMLS++_MSR8_Cost	MC_KM++_MSR_Time10	MC_KM++_MSR10_Cost	MC_KMLS++_MSR_Time10	MC_KMLS++_MSR10_Cost	MC_KM++_MSR_Time11	MC_KM++_MSR11_Cost	MC_KMLS++_MSR_Time11	MC_KMLS++_MSR11_Cost	MC_KM++_MSR_Time12	MC_KM++_MSR12_Cost	MC_KMLS++_MSR_Time12	MC_KMLS++_MSR12_Cost	SKL_DenseKM++Time	SKL_DenseKM++Cost	MCDense_KM++_time	MCDense_KM++_cost	MCDense_KM++_and_LS++_time	MCDense_KM++LS++_cost
PBMC	3	9.713314771652222	294952864	0.1930382251739502	334521065	0.9208712577819824	285476892	16	0.18994879722595215	3653.1488412320614	1.17600417137146	3674.5971381627023	0.19019746780395508	18749.11071780324	0.9042634963989258	17113.815317973495	0.1699838638305664	17253.83959772333	0.9909284114837646	16931.11404192615	0.13810133934020996	10642.614355646518	0.7859313488006592	10006.270374662661	0.16681385040283203	11422.780438848527	0.6924071311950684	9961.42847252344	0.21053647994995117	34523945.14554279	1.0383260250091553	34189819.556394264	0.19964909553527832	21405.442080169916	0.8400604724884033	16722.949290946126	0.20982789993286133	3996.805275224149	1.0419836044311523	3621.031236940995	1.644986867904663	1e+308	0.18878173828125	274809248	0.8509659767150879	245710080.0
PBMC	10	31.336230993270874	257041200	0.6046066284179688	273559286	2.251664161682129	249421349	16	0.7970657348632812	3609.0234084539115	3.096914529800415	3579.600760605186	0.6406378746032715	16637.535573869944	2.70481276512146	15047.699620336294	0.6645207405090332	16580.921058661053	2.4714431762695312	16231.783644256902	0.5396463871002197	9822.959147854926	2.453824281692505	9894.670488219566	0.545231819152832	9680.926473523086	2.1740081310272217	9647.7658664944	0.810746431350708	33874116.42732953	3.293895959854126	32946105.14425153	0.6923484802246094	18519.543810889125	2.915257692337036	18572.80829922855	0.851442813873291	3514.255895342678	2.9778389930725098	3429.3262706175447	5.103738069534302	1e+308	0.53829026222229	215151760	1.8810031414031982	208075408.0
PBMC	25	85.33266711235046	236788704	1.64705491065979	241270057	5.336191177368164	230912559	16	1.9834201335906982	3568.302238702774	7.097574949264526	3535.630750387907	1.7111024856567383	16967.68227121234	6.085315942764282	15900.472894862294	1.4672935009002686	16198.19556211895	5.484342813491821	15842.284943675286	1.4286234378814697	9416.781768027071	4.953024625778198	9325.984349096067	1.3672511577606201	9211.091940659357	4.698728561401367	9249.108294683385	1.922025203704834	32224735.370652582	6.922758340835571	31280750.929607198	1.583247184753418	18360.298669859767	5.889188051223755	16805.926754057407	1.934525966644287	3528.8189941495657	6.70042610168457	3384.2048530709	10.901845693588257	1e+308	1.3484182357788086	181567056	4.145448446273804	179414288.0
PBMC	50	171.94427585601807	217695488	2.9104182720184326	215140061	10.051564455032349	216663153	16	4.1469573974609375	3465.308870056644	12.976491689682007	3399.1755207702518	3.3093531131744385	15360.711620494723	11.450992584228516	16176.691895924509	3.0145721435546875	16072.199842288235	10.233503341674805	15967.474658723604	2.63348126411438	9102.932871948295	8.96182656288147	8956.746708128463	2.6623952388763428	8995.030153060656	9.107718467712402	9136.89904792749	3.982462167739868	31642482.3608482	13.041764974594116	30362084.371168584	3.2504196166992188	18045.269994862378	11.248533487319946	15706.265051558614	3.756279945373535	3465.418178739026	13.316854476928711	3388.9732526186854	22.10320806503296	1e+308	2.53804612159729	169737104	8.2592134475708	162196480.0
PBMC	100	351.9086802005768	211406560	5.912714958190918	209082045	20.00949454307556	207156012	16	7.617289781570435	3336.846742572263	25.83222985267639	3322.016472708434	6.64868426322937	14566.446569532156	22.139071941375732	15160.86144707352	5.945358037948608	15995.142759244081	19.932596921920776	15783.861223968066	5.4947288036346436	8918.120623522871	17.833553791046143	8878.633721740116	5.3136560916900635	8877.751771001149	17.2785427570343	8894.433008185693	7.751476287841797	30386392.445182864	26.163387060165405	29743339.332582355	6.600603342056274	17507.07112507522	22.87741470336914	15039.923390239477	7.877480745315552	3363.8315566256642	25.980321168899536	3283.010190634057	42.061158180236816	1e+308	5.1148152351379395	156132576	15.054729700088501	155113632.0
Cao2m	3	300.6070668697357	6780290560	5.043298006057739	6872929747	30.625808000564575	6303149382	16	7.06908917427063	162199.82597587258	38.4640793800354	150936.07336865738	5.468784332275391	764334.1595649868	38.0694785118103	653908.1029089987	6.587539911270142	670169.1329720113	33.24493074417114	590349.2632747351	4.388168811798096	411614.7143663425	25.747802734375	401879.5129755475	5.0794456005096436	415976.57007020456	26.076403617858887	404173.03443151014	8.03814148902893	1116023747.8072238	41.65865683555603	966902842.3402731	6.427218914031982	897872.4303884655	36.81994080543518	890277.6420737058	7.976704120635986	172024.9667748101	33.24091291427612	143701.1028607227	66.65318727493286	1e+308	5.007473707199097	5404792320	21.41457176208496	4141528576.0
Cao2m	10	1028.8847699165344	5621362176	22.348204851150513	6265598994	79.34231972694397	6240221683	16	27.574777841567993	153569.51429818943	95.22123003005981	151017.17895462178	26.185593128204346	903011.7421298921	80.09745740890503	729950.725293383	20.805392742156982	625113.9499218867	77.77335023880005	571075.6861393538	20.777830123901367	394756.75636865495	71.28096532821655	390533.0612452993	17.813782930374146	402277.38454845303	75.52204513549805	397003.79363707383	25.73352074623108	1057407935.1183195	96.5285291671753	944078132.9104505	24.2531476020813	879834.6606413275	82.51603031158447	641097.6944767833	27.599968910217285	150118.3334769979	99.6322181224823	150799.29306077957	174.84030961990356	1e+308	14.44564151763916	3939670272	52.39240002632141	3661682944.0
Cao2m	25	2686.6285042762756	4946308608	58.25076937675476	5579782071	181.25592589378357	5252950845	16	71.56521368026733	150710.04496981204	212.70170283317566	148639.79219434224	55.895658016204834	599341.1454449892	195.23506116867065	711058.4978030026	49.733580112457275	587653.0680321978	175.8836953639984	572901.946899925	48.40804719924927	384861.11237843527	157.41151022911072	382431.5855736001	49.82497978210449	382359.93723904964	162.03159022331238	382534.3677594742	73.04052901268005	945043650.3507016	231.1152787208557	928095189.4469806	58.8808650970459	878396.4085945934	192.39630699157715	608774.1855628192	65.04374885559082	142840.6068599671	238.61561751365662	143086.62455125526	405.08451628685	1e+308	35.40261960029602	3206917376	114.80482482910156	3038439424.0
Cao2m	50	5472.698928117752	5013758976	111.8174376487732	4884083098	328.3947217464447	4891024940	16	130.30888676643372	150268.7260173671	426.1671106815338	145934.95505109616	115.98674988746643	590886.918961972	356.77836179733276	614898.7518038899	103.86900401115417	568478.7638203269	318.57537841796875	569160.0885774577	95.4809262752533	379603.573929871	293.28419494628906	378814.5410059977	97.09314465522766	378885.0055813048	296.7338619232178	376521.4313128141	142.53499460220337	975482165.4152147	442.0243079662323	959855561.6705115	118.38347387313843	866377.2174956799	365.89570212364197	606725.33219859	134.5263683795929	143906.46906437166	434.2688663005829	145142.2377350591	710.9802422523499	1e+308	70.75260138511658	2957368832	223.4263575077057	2771324928.0
Cao2m	100	12731.576379537582	4793065984	213.57467222213745	4721621774	661.2089328765869	4575495876	16	263.29473304748535	148720.42888225056	839.2474460601807	145388.69429075718	227.64680242538452	585843.8534880728	726.2151815891266	613294.729193002	204.86097526550293	566127.648196658	623.423983335495	561391.0681223661	184.62950372695923	374458.8820132979	579.8407776355743	372852.19321719476	196.90661096572876	375724.83919965127	572.2666103839874	374267.51158219366	272.34143257141113	934180283.1023161	849.5859186649323	912421095.8181512	239.55419778823853	848675.6287572831	908.4648320674896	601681.6743407324	346.7844202518463	144906.62578807212	1022.7254953384399	138974.42700314708	1923.855117559433	1e+308	146.52021598815918	2590964736	437.74345088005066	2524342784.0
