dataset,k,nthreads,name,distance,sparsity,measure,value
tiny,25,4,MC_KMplusplus,SQRL2,sparse,cost,32613810.641933497
tiny,25,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,1.7126193046569824
tiny,25,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,30922018.253510453
tiny,25,4,MC_KM++,JSD,sparse,time,0.5124406814575195
tiny,25,4,MC_KM++,JSD,sparse,cost,6701.915832772851
tiny,25,4,MC_KMLS++,JSD,sparse,time,1.7209713459014893
tiny,25,4,MC_KMLS++,JSD,sparse,cost,6673.721424296498
tiny,25,4,MC_KM++,MKL,sparse,time,0.4566233158111572
tiny,25,4,MC_KM++,MKL,sparse,cost,36716.442134320736
tiny,25,4,MC_KMLS++,MKL,sparse,time,1.5198047161102295
tiny,25,4,MC_KMLS++,MKL,sparse,cost,33056.16823267937
tiny,25,4,MC_KM++,HELL,sparse,time,0.3846924304962158
tiny,25,4,MC_KM++,HELL,sparse,cost,19450.6178414861
tiny,25,4,MC_KMLS++,HELL,sparse,time,1.1841161251068115
tiny,25,4,MC_KMLS++,HELL,sparse,cost,19228.832468066095
tiny,25,4,MC_KM++,BATMET,sparse,time,0.35811352729797363
tiny,25,4,MC_KM++,BATMET,sparse,cost,18510.23895050322
tiny,25,4,MC_KMLS++,BATMET,sparse,time,1.1030728816986084
tiny,25,4,MC_KMLS++,BATMET,sparse,cost,18277.996432144777
tiny,25,4,MC_KM++,BATDIST,sparse,time,0.34514427185058594
tiny,25,4,MC_KM++,BATDIST,sparse,cost,19192.33418259534
tiny,25,4,MC_KMLS++,BATDIST,sparse,time,1.1256990432739258
tiny,25,4,MC_KMLS++,BATDIST,sparse,cost,18494.58189303642
tiny,25,4,MC_KM++,RMKL,sparse,time,0.5122175216674805
tiny,25,4,MC_KM++,RMKL,sparse,cost,33868.230353206396
tiny,25,4,MC_KMLS++,RMKL,sparse,time,1.5150701999664307
tiny,25,4,MC_KMLS++,RMKL,sparse,cost,34878.053801864386
tiny,25,4,SKL_KMplusplus,SQRL2,dense,time,2.031792402267456
tiny,25,4,SKL_KMplusplus,SQRL2,dense,cost,1236125.0440303704
tiny,25,4,MC_KMplusplus,SQRL2,dense,time,0.37416839599609375
tiny,25,4,MC_KMplusplus,SQRL2,dense,cost,32270572
tiny,25,4,MC_KMpp_and_LSpp,SQRL2,dense,time,1.3471179008483887
tiny,25,4,MC_KMplusplusLSpp,SQRL2,dense,cost,31361990
tiny,50,4,SKL_KMplusplus,SQRL2,sparse,time,5.513673543930054
tiny,50,4,SKL_KMplusplus,SQRL2,sparse,cost,30604238
tiny,50,4,MC_KMplusplus,SQRL2,sparse,time,1.0433862209320068
tiny,50,4,MC_KMplusplus,SQRL2,sparse,cost,30634738.908256814
tiny,50,4,MC_KMpp_and_LSpp,SQRL2,sparse,time,3.197211503982544
tiny,50,4,MC_KMplusplusLSpp,SQRL2,sparse,cost,30256363.463025223
tiny,50,4,MC_KM++,JSD,sparse,time,1.0335023403167725
tiny,50,4,MC_KM++,JSD,sparse,cost,6681.6440317854285
tiny,50,4,MC_KMLS++,JSD,sparse,time,3.2515084743499756
tiny,50,4,MC_KMLS++,JSD,sparse,cost,6503.185352154076
