#args=Namespace(maxiter=25, mbsize=5000, msr=None, n_local_trials=1, ncheckins=5, nthreads=1, prior=1.0, skip_skl=False, tol=1e-05)
#pref:86009826.
#Name	k	SKL_KMplusplus_time	SKL_KMplusplus_cost	MC_KMplusplus_time	MC_KMplusplus_cost	MC_KMpp_and_LSpp_time	MC_KMplusplusLSpp_cost	nthreads		SKL_DenseKMplusplus_time	SKL_DenseKMplusplus_cost	MCDense_KMplusplus_time	MCDense_KMplusplus_cost	MCDense_KMpp_and_LSpp_time	MCDense_KMplusplusLSpp_cost	nthreads
tiny	10	0.7600884437561035	34850044.0	0.675408124923706	37499863.23108176	2.452033758163452	32393308.039199427	1	4.701910018920898	35928692.153232105	0.1568460464477539	37347432.0	0.5678615570068359	33581584.0	
tiny	25	1.7820074558258057	33099814.0	1.6574432849884033	31869089.965669364	5.67229700088501	30991551.873906437	1	10.987391710281372	32383815.28085307	0.3808624744415283	32340188.0	1.3456745147705078	30407656.0	
tiny	50	3.5784904956817627	30779498.0	3.323831796646118	30670291.886643026	10.943275928497314	29949116.79576345	1	21.5514235496521	30439104.388741005	0.7522711753845215	30109234.0	2.684141159057617	29668850.0	
tiny	100	7.133650064468384	28791928.0	7.093310117721558	28285325.929515786	22.193079710006714	27680456.58835947	1	43.699883460998535	29471108.878007524	1.509094476699829	28044104.0	5.904357671737671	27853132.0	
PBMC	10	24.500254154205322	256823584.0	6.671100854873657	256500600.0	23.92115545272827	251758122.0	1	61.76531004905701	213081799.781243	0.4321720600128174	210457616.0	1.489694595336914	205892800.0	
PBMC	25	59.46875619888306	239375280.0	15.73809003829956	233131900.0	54.52900052070618	223732682.0	1	144.16322112083435	183251655.18714005	1.070692539215088	185288672.0	3.3773162364959717	175582528.0	
PBMC	50	146.52754831314087	219785488.0	34.462316036224365	219867168.0	107.64081120491028	216514212.0	1	317.1045379638672	166793109.7493587	2.939056634902954	169444032.0	7.503862142562866	160395120.0	
PBMC	100	299.96802043914795	207628512.0	74.11512899398804	212231627.0	226.45400094985962	203239076.0	1	668.4043786525726	154997407.06827855	4.51143479347229	156740080.0	15.06414794921875	149886688.0	
Cao2m	10	1235.50470495224	7566823424.0	253.26957082748413	5339504368.0	978.6432764530182	6023815587.0	1	2821.2229387760162	3545814573.6207385	13.897488832473755	3792160256.0	46.97278571128845	3309378048.0	
Cao2m	25	3187.147631406784	5190509056.0	688.0847165584564	5341394240.0	2261.357925415039	5261501865.0	1	6857.391180753708	3249440703.3641825	35.3100106716156	2961890048.0	110.1854248046875	3131355392.0	
Cao2m	50	5733.842522621155	4892570112.0	1338.5684559345245	4870948072.0	4184.66809129715	4721098507.0	1	12586.008360147476	2892886923.24184	66.9175808429718	2949049344.0	217.94232654571533	2744445184.0	
Cao2m	100	11892.845037221909	4702390272.0	2804.728980779648	4762436054.0	9160.475860357285	4532971631.0	1	26937.8338265419	2636658024.469649	139.4793839454651	2586044672.0	436.74882912635803	2574681600.0	
Cao4m	10	4350.808357477188	26065649664.0	478.83793544769287	26043254378.0	2158.429937839508	23544446891.0	1	7863.253178596497	17376634831.250168	31.897897243499756	17131969536.0	110.01232051849365	16753942528.0	
Cao4m	25	10160.665197134018	20161505280.0	1378.2409768104553	20254676872.0	6839.505875349045	19460333460.0	1	19889.981575727463	14501495878.935879	71.25841474533081	14310378496.0	235.75049543380737	12903795712.0	
Cao4m	50	17937.878549814224	18568327168.0	5229.030978679657	19067851484.0	14629.392408132553	17728640799.0	1	41450.849923849106	12561306354.182291	156.8782560825348	11986357248.0	482.9609432220459	12025348096.0	
Cao4m	100	40560.60193824768	17040029696.0	8085.916668653488	16714377827.0	22974.575412988663	16448295813.0	1	79269.90392756462	10446980861.068647	285.76307916641235	10901405696.0	913.18878865242	10220542976.0	
