#Name	k	SKL_KMplusplus_time	SKL_KMplusplus_cost	MC_KMplusplus_time	MC_KMplusplus_cost	MC_KMpp_and_LSpp_time	MC_KMplusplusLSpp_cost	nthreads
tiny	3	0.07781291007995605	2865687.25	0.006634712219238281	2537804.573751562	0.03875088691711426	2232800.3668169565	32
tiny	10	0.19983267784118652	1946002.75	0.02133631706237793	2027667.0765782027	0.10910582542419434	1897579.044544076	32
tiny	25	0.45206189155578613	1657913.0	0.07443380355834961	1566222.4897605416	0.278928279876709	1388774.101309892	32
tiny	50	1.0137550830841064	1397135.625	0.1190640926361084	1388629.1030156985	0.48522114753723145	1271709.4417076872	32
tiny	100	1.5952978134155273	1197625.5	0.22385430335998535	1191830.9806745942	0.8357670307159424	1066210.0635850222	32
Cao4m	3	1087.3260447978973	39244345344.0	12.139165163040161	92252520845.0	46.61955142021179	24802775128.0	32
Cao4m	10	3763.0250306129456	23249975296.0	39.08335041999817	22005443834.0	178.413170337677	22260202443.0	32
Cao4m	25	8908.035763025284	19614785536.0	94.03087878227234	20480197125.0	417.65149760246277	18470607443.0	32
Cao4m	50	17575.854163885117	18110197760.0	162.7914776802063	18232116224.0	789.8916018009186	17019614849.0	32
Cao4m	100	34477.90241885185	16980516864.0	358.5782461166382	17141563745.0	1689.668939590454	15588161605.0	32
