#Name	k	SKL KM++ time	SKL KM++ cost	MC KM++ time	MC KM++ cost	MC KM++ plus LS++	MC KM++ plus LS++ runtime
tiny	3	0.0751192569732666	2596312.75	0.011762857437133789	2245118.2331161266	2023833.614214625	0.07025504112243652
tiny	10	0.19965362548828125	1671481.5	0.032770633697509766	1711982.4222197672	1738955.437411787	0.21399903297424316
tiny	25	0.4254012107849121	1461914.0	0.08231186866760254	1528140.5188020314	1302516.9710513633	0.4246845245361328
tiny	50	0.8679163455963135	1280638.75	0.15177178382873535	1306479.0501291403	1150990.050540889	0.8265483379364014
tiny	100	1.7080893516540527	1120516.625	0.23645472526550293	1119729.6380267702	1050406.8629315705	1.4627811908721924
Cao4m	3	1170.7800374031067	25539717120.0	32.716423988342285	31242606103.0	25134043963.0	173.95707726478577
Cao4m	10	3752.867849588394	23023708160.0	96.18687152862549	23615353671.0	23184187373.0	587.3388071060181
Cao4m	25	8859.10992527008	20661964800.0	282.55232214927673	20576267297.0	18625351812.0	1392.4161942005157
Cao4m	50	17653.16204214096	18008999936.0	522.6145348548889	18540832938.0	16576639360.0	2892.976651906967
Cao4m	100	35249.980687856674	16739761152.0	1168.298986196518	17082525929.0	15383943345.0	5499.353350162506
