#args=Namespace(maxiter=20, mbsize=5000, msr=['4', '5', '6', '8', '10', '11', '13', '15'], n_local_trials=3, ncheckins=2, nthreads=16, prior=0.1, skip_skl=True, tol=1e-05)
#Name	k	SKL_KMplusplus_time	SKL_KMplusplus_cost	MC_KMplusplus_time	MC_KMplusplus_cost	MC_KMpp_and_LSpp_time	MC_KMplusplusLSpp_cost	nthreads	MC_KM++_MSR_Time4	MC_KM++_MSR4_Cost	MC_KMLS++_MSR_Time4	MC_KMLS++_MSR4_Cost	MC_KM++_MSR_Time5	MC_KM++_MSR5_Cost	MC_KMLS++_MSR_Time5	MC_KMLS++_MSR5_Cost	MC_KM++_MSR_Time6	MC_KM++_MSR6_Cost	MC_KMLS++_MSR_Time6	MC_KMLS++_MSR6_Cost	MC_KM++_MSR_Time8	MC_KM++_MSR8_Cost	MC_KMLS++_MSR_Time8	MC_KMLS++_MSR8_Cost	MC_KM++_MSR_Time10	MC_KM++_MSR10_Cost	MC_KMLS++_MSR_Time10	MC_KMLS++_MSR10_Cost	MC_KM++_MSR_Time11	MC_KM++_MSR11_Cost	MC_KMLS++_MSR_Time11	MC_KMLS++_MSR11_Cost	MC_KM++_MSR_Time13	MC_KM++_MSR13_Cost	MC_KMLS++_MSR_Time13	MC_KMLS++_MSR13_Cost	MC_KM++_MSR_Time15	MC_KM++_MSR15_Cost	MC_KMLS++_MSR_Time15	MC_KMLS++_MSR15_Cost
tiny	3	0.00018215179443359375	1e+308	0.19817447662353516	39067890.80015546	0.16185307502746582	40073822.84718153	16	0.05482625961303711	8091.479205287993	0.1521906852722168	7503.677320584655	0.047869205474853516	42764.51465475559	0.13027071952819824	39118.525156229734	0.03229880332946777	20387.569375504077	0.0972294807434082	21122.772878750857	0.028780698776245117	21077.67360376574	0.08993721008300781	19717.51143610198	0.0939791202545166	3252331.151368421	0.18510961532592773	3313354.5159697756	0.046872615814208984	41446.63446787	0.12778663635253906	42804.69558593631	0.04705309867858887	18267591.319717407	0.14388012886047363	16258402.486236572	0.04578089714050293	12254.012662750174	0.14801621437072754	11754.96805176423
tiny	10	0.00018787384033203125	1e+308	0.1750192642211914	39240548.801504165	0.4973409175872803	35630123.43878109	16	0.18085336685180664	7084.002353407443	0.3990612030029297	6981.65528575331	0.12980365753173828	38039.190338253975	0.4381568431854248	37463.51563677192	0.11837363243103027	20278.216976994998	0.3282458782196045	20147.16934673021	0.11515331268310547	19404.43409399416	0.26862549781799316	19154.037120868612	0.2502286434173584	3201013.09475397	0.3872792720794678	3104764.872487468	0.15522241592407227	36729.888776510954	0.46144843101501465	37120.85646143556	0.154402494430542	16443454.310806274	0.41983747482299805	14402796.855926514	0.11592912673950195	11789.848866518929	0.34025120735168457	11392.679991653129
tiny	25	0.00021958351135253906	1e+308	0.4864809513092041	31646772.478913344	0.9003825187683105	31178039.567296643	16	0.38474202156066895	6720.364904671907	0.9937527179718018	6710.036980047822	0.37093496322631836	36551.299122184515	0.7862460613250732	33675.94684404135	0.33782482147216797	19663.88313833171	0.7864179611206055	19381.97440358245	0.32228779792785645	18921.924517837077	0.6018073558807373	18630.6457207489	0.41923069953918457	2997224.198325121	1.0629057884216309	2954318.0222175224	0.3253624439239502	33302.186281234026	0.9668781757354736	34855.049737393856	0.33225202560424805	15639025.503578186	0.8775200843811035	14272820.611297607	0.2911100387573242	11011.057098170239	0.8169431686401367	10794.044545602772
tiny	50	0.0001964569091796875	1e+308	0.9605960845947266	30691600.78488924	1.736464262008667	28772604.922193732	16	0.8844301700592041	6488.1650825589895	1.7145030498504639	6518.286817282438	0.7270553112030029	34827.59751108289	1.4888131618499756	32689.142756432295	0.562340259552002	19009.45290036499	1.2140083312988281	18920.244498486605	0.5908808708190918	18307.234575435825	1.161311388015747	17834.807278962777	0.9638550281524658	2894037.307995657	1.8881776332855225	2749724.590559841	0.6752099990844727	32939.09197297692	1.4269778728485107	31908.230541318655	0.6815972328186035	14873142.023483276	1.5349435806274414	12745363.571212769	0.48692893981933594	10636.259913072849	1.0346381664276123	10582.51337792244
tiny	100	0.00021648406982421875	1e+308	1.5486524105072021	28066172.019791316	3.2013611793518066	27638776.294494573	16	1.6394617557525635	6208.806464698166	3.321681499481201	6203.759228937328	1.471902847290039	33433.06816264987	2.693650007247925	31443.076732844114	1.155573844909668	18764.31446102474	2.2542929649353027	18617.177468493323	1.1087682247161865	17638.473711959654	1.9383225440979004	17410.538026935203	2.003410816192627	2754080.5635956787	3.5562350749969482	2748146.682738338	1.448241949081421	31856.260121166706	2.8117873668670654	30778.90894755721	1.5287044048309326	13838177.500579834	2.758749008178711	12553166.598602295	0.9794964790344238	10412.295410409293	2.000808000564575	10157.833187255239
PBMC	3	0.0002579689025878906	1e+308	0.6266417503356934	301262535.0	1.3998603820800781	290178219.0	16	0.6903278827667236	3693.4495752230287	1.7827816009521484	3774.8445801734924	0.5398616790771484	16753.80487680435	1.1087372303009033	16629.914685420692	0.5322322845458984	16584.80108345338	1.420055627822876	16589.647391334	0.4726226329803467	10245.413085357755	1.0767505168914795	10087.432284997747	0.7600233554840088	36426172.675869755	1.7731382846832275	34089440.57231266	0.700706958770752	20096.373427405953	1.3654148578643799	17832.15019825101	0.6902322769165039	254134271.52319336	1.4328875541687012	231774569.6809082	1.2287311553955078	17281.180612151267	2.7903976440429688	17687.83704153853
PBMC	10	0.00010943412780761719	1e+308	2.1086111068725586	268132757.0	4.144885540008545	260849615.0	16	2.6609151363372803	3583.1936357636005	4.891002655029297	3531.03861419484	2.403548240661621	16471.819731876254	4.192067384719849	16715.264620557427	1.837961196899414	16328.100509481947	3.807344436645508	16311.419546226005	1.7135279178619385	9562.935022972768	3.133122205734253	9613.734203891585	2.5257723331451416	33991153.37385677	4.566923379898071	30925727.14113912	2.2928969860076904	19323.657238215208	4.0110437870025635	16867.0589517802	2.1047871112823486	184532484.27368164	3.8176190853118896	238361538.75561523	3.657069206237793	17265.813084144822	7.150964021682739	16342.253536057186
PBMC	25	0.000102996826171875	1e+308	5.132223606109619	233458451.0	8.679306030273438	222480625.0	16	6.792547225952148	3462.7714883200824	12.076335191726685	3420.949254957959	6.4285852909088135	16298.40172919631	10.895724534988403	15404.069064214826	5.8210484981536865	16327.590059895065	9.870357990264893	16097.044529623616	5.057928800582886	9311.174810346547	8.659209251403809	9220.818840723914	7.152795791625977	31477489.678194504	12.834030389785767	31010375.484922156	6.223569869995117	18466.455889850855	10.823147535324097	17253.334591165185	6.826267719268799	182139975.05151367	10.430287837982178	199151210.84301758	10.203893423080444	15798.765564936393	17.446650743484497	16046.360501930014
PBMC	50	0.0007479190826416016	1e+308	10.86206603050232	216774278.0	17.435757398605347	216341736.0	16	13.595273733139038	3404.4564788471907	23.954610347747803	3390.7569178566337	12.209003448486328	15224.892396762967	20.277605056762695	14929.704831168056	10.534132957458496	16091.118773018721	19.479969024658203	15797.469399106092	10.279788494110107	9049.363613656693	16.419454336166382	9005.071871479387	14.148042440414429	30188726.83980231	23.32114577293396	30201310.393689267	12.029245376586914	17940.27555204928	19.993567943572998	15124.377281665802	12.606429100036621	197447210.45568848	21.153409481048584	198932278.7084961	20.732231378555298	14667.54476689673	33.41843104362488	16112.94312615644
PBMC	100	0.00061798095703125	1e+308	20.236668348312378	207653573.0	34.439438343048096	206723611.0	16	27.330010414123535	3355.586210278794	43.3541522026062	3310.6356973536313	24.003703117370605	15181.955134883523	38.21814227104187	14808.244508512318	21.56297540664673	15831.115219391972	35.46082592010498	15715.840514542655	19.18436574935913	8875.15929685425	31.733380794525146	8836.815879959187	28.06251096725464	29667613.633777846	43.75586795806885	30065207.598984458	23.97266936302185	17737.283324956894	37.66724705696106	14795.994214996696	23.761890649795532	192761579.26745605	39.71917128562927	193698086.83422852	39.8490195274353	15650.704584526053	65.19371700286865	16008.235499895862
