#args=Namespace(maxiter=25, mbsize=5000, msr=['4', '5', '6', '7', '8', '11'], n_local_trials=1, ncheckins=5, nthreads=4, prior=0.1, skip_skl=False, tol=1e-05)
#pref:29131886.
#Name	k	SKL_KMplusplus_time	SKL_KMplusplus_cost	MC_KMplusplus_time	MC_KMplusplus_cost	MC_KMpp_and_LSpp_time	MC_KMplusplusLSpp_cost	nthreads	MC_KM++_MSR_Time4	MC_KM++_MSR4_Cost	MC_KMLS++_MSR_Time4	MC_KMLS++_MSR4_Cost	MC_KM++_MSR_Time5	MC_KM++_MSR5_Cost	MC_KMLS++_MSR_Time5	MC_KMLS++_MSR5_Cost	MC_KM++_MSR_Time6	MC_KM++_MSR6_Cost	MC_KMLS++_MSR_Time6	MC_KMLS++_MSR6_Cost	MC_KM++_MSR_Time7	MC_KM++_MSR7_Cost	MC_KMLS++_MSR_Time7	MC_KMLS++_MSR7_Cost	MC_KM++_MSR_Time8	MC_KM++_MSR8_Cost	MC_KMLS++_MSR_Time8	MC_KMLS++_MSR8_Cost	MC_KM++_MSR_Time11	MC_KM++_MSR11_Cost	MC_KMLS++_MSR_Time11	MC_KMLS++_MSR11_Cost	SKLDense_KMplusplus_time	SKLDense_KMplusplus_cost	MCDense_KMplusplus_time	MCDense_KMplusplus_cost	MCDense_KMpp_and_LSpp_time	MCDense_KMplusplusLSpp_cost
tiny	3	0.4280414581298828	45183136	0.09537577629089355	41465038.86298263	0.412886381149292	38900446.83097016	4	0.07503771781921387	7869.469047009945	0.2992570400238037	7939.782623074949	0.062306880950927734	43427.8880931437	0.34667110443115234	41195.68171593547	0.05869603157043457	21339.995440952443	0.276111364364624	21005.842134783838	0.048758745193481445	20943.69180100986	0.20974445343017578	19595.551328015456	0.058251380920410156	21917.787957538763	0.2300257682800293	20141.391202756582	0.06578636169433594	44608.72078084946	0.2967410087585449	38256.03621542454	0.4135010242462158	1450451.7239491323	0.055228471755981445	37787884	0.24635624885559082	39819740
tiny	10	1.0416407585144043	35346128	0.21415066719055176	36242449.4258589	0.8656563758850098	36373637.62564341	4	0.22864031791687012	7223.732677780092	0.786813497543335	7395.405917033553	0.20893263816833496	38732.598678827286	0.6775803565979004	36598.76111739874	0.15980172157287598	20447.95858534968	0.5253262519836426	19740.764740889783	0.1378157138824463	19136.97818634787	0.4860990047454834	19472.510532128217	0.13929033279418945	20079.5635617558	0.4709300994873047	19684.585142062002	0.1800525188446045	37154.85884284973	0.6463096141815186	36867.265435665846	0.8669085502624512	1324220.5895890384	0.1681385040283203	37583284	0.6303396224975586	35004672
tiny	25	2.672347068786621	32766568	0.5686323642730713	32613810.641933497	1.7126193046569824	30922018.253510453	4	0.5124406814575195	6701.915832772851	1.7209713459014893	6673.721424296498	0.4566233158111572	36716.442134320736	1.5198047161102295	33056.16823267937	0.3846924304962158	19450.6178414861	1.1841161251068115	19228.832468066095	0.35811352729797363	18510.23895050322	1.1030728816986084	18277.996432144777	0.34514427185058594	19192.33418259534	1.1256990432739258	18494.58189303642	0.5122175216674805	33868.230353206396	1.5150701999664307	34878.053801864386	2.031792402267456	1236125.0440303704	0.37416839599609375	32270572	1.3471179008483887	31361990
tiny	50	5.513673543930054	30604238	1.0433862209320068	30634738.908256814	3.197211503982544	30256363.463025223	4	1.0335023403167725	6681.6440317854285	3.2515084743499756	6503.185352154076	0.9112684726715088	34262.54948475957	3.510014772415161	32432.51408073306	0.9314658641815186	19120.60267484322	2.5107178688049316	19033.402191066212	0.7218241691589355	17975.152007260753	2.1721999645233154	17998.758181892	0.6960747241973877	18392.114889964956	2.061898946762085	18155.191926959757	0.874028205871582	30988.513485342264	2.849771022796631	32404.266981095076	3.9734911918640137	1226519.0747863324	0.7876088619232178	30647150	2.751210927963257	29480768
tiny	100	9.51398515701294	28890958	2.0593838691711426	28496334.622279007	6.3182032108306885	27781724.183808252	4	2.0976974964141846	6298.60652180016	7.245388746261597	6256.4836453944445	1.9442808628082275	33101.3063672781	6.4742512702941895	30731.06992661953	1.6373991966247559	18873.57060776108	4.84206485748291	18542.16101855496	1.4180195331573486	17736.2214181835	4.180855989456177	17422.318768364115	1.358166217803955	17691.347217903298	4.132148265838623	17584.8520018219	1.836578369140625	30785.85540908575	5.722161769866943	30858.812460184097	7.58939790725708	1198292.2696354592	1.5771918296813965	29043718	5.234795570373535	28141854
PBMC	3	8.439188241958618	386439776	0.6336438655853271	332415137	3.1645238399505615	315095773	4	0.8392543792724609	3867.3529280647635	4.397636890411377	3623.14711243473	0.676093578338623	18665.844829559326	3.318920850753784	16445.830398842692	0.6271772384643555	17015.376717642353	3.118007183074951	16868.419149146794	0.558189868927002	10626.308383311625	2.839567184448242	10140.325365045912	0.5404751300811768	10516.565919535082	3.007432699203491	10168.10145185158	0.6514453887939453	20436.920919552445	3.0498766899108887	18389.908622041345	3.690115213394165	1e+308	0.14821076393127441	265362976	0.6474123001098633	254629184
PBMC	10	24.661828994750977	254375648	1.8068256378173828	257916426	6.8387627601623535	260320609	4	2.2238943576812744	3514.545393722132	8.701330661773682	3513.3564541134983	2.009669303894043	15986.078161418438	7.28581690788269	17012.630023896694	1.8819165229797363	16645.809832348317	6.598300933837891	16454.46878111191	1.679673194885254	9787.776112750333	6.126945972442627	9557.257454826511	1.7819874286651611	10032.40605487987	5.937240839004517	9605.052333014173	2.1213715076446533	18730.99312789738	7.275830268859863	17093.298436522484	8.59061336517334	1e+308	0.44840431213378906	212592800	1.5735080242156982	194457824
PBMC	25	60.06602215766907	240883376	5.533758163452148	235601860	17.69963550567627	232720608	4	6.836198091506958	3410.566896257922	24.937394380569458	3437.363272747025	6.291104078292847	15788.153010889888	20.63212823867798	17185.369041472673	5.47072172164917	16286.964148788653	16.97122073173523	16223.378175215166	4.324904680252075	9294.20967190393	14.724804401397705	9238.548730952149	4.343334674835205	9289.528255338191	14.472943305969238	9290.397197684404	5.505230903625488	18331.140529222786	17.59402298927307	15762.438996061683	21.581050395965576	1e+308	1.1843857765197754	185007120	4.2633349895477295	178081680
PBMC	50	131.59178566932678	218187584	9.862178564071655	217669062	30.09721350669861	213311875	4	12.624845266342163	3492.290089085698	39.983097076416016	3362.8139451108873	12.872621059417725	16078.143746197224	41.06118130683899	16511.68060644716	11.10810136795044	16069.845094901622	36.18469977378845	15997.258164455881	10.280687808990479	9119.930734469119	31.64122700691223	9056.254192166889	9.81503415107727	9085.01718375475	29.47423505783081	9074.169051487683	10.411346435546875	17976.4251973629	33.762333393096924	15655.430471628904	41.386565923690796	1e+308	2.427858829498291	169220992	7.138180255889893	163283664
PBMC	100	322.5298273563385	207718368	21.884217739105225	205717400	69.76995539665222	206799257	4	28.666213750839233	3328.7449461594224	78.2834198474884	3341.3307941239327	21.5334312915802	15599.974061280489	68.5665352344513	14825.515372470021	19.218556880950928	15987.918972676147	63.089619159698486	15715.29840425496	19.447290897369385	8954.200032512355	61.11313462257385	8827.328320295626	19.590189456939697	8891.917252835996	59.43693256378174	8894.74552486759	22.544239282608032	17889.82091204822	76.37208104133606	15593.078911446035	89.70099306106567	1e+308	5.259045362472534	158669296	15.154039859771729	155039200
