#args=Namespace(maxiter=25, mbsize=5000, msr=None, n_local_trials=1, ncheckins=5, nthreads=1, prior=1.0, skip_skl=False, tol=1e-05)
#pref:86009826.
#Name	k	SKL_KM++_time	SKL_KM++_cost	MC_KM++_time	MC_KM++_cost	MC_KM++_and_LS++_time	MC_KM++LS++_cost	nthreads	SKL_DenseKM++_Time	SKL_DenseKM++_Cost	MCDense_KM++_time	MCDense_KM++_cost	MCDense_KM++_and_LS++_time	MCDense_KM++LS++_cost
tiny	10	0.7600884437561035	34850044	0.675408124923706	37499863.23108176	2.452033758163452	32393308.039199427	1	4.701910018920898	35928692.153232105	0.1568460464477539	37347432	0.5678615570068359	33581584
tiny	25	1.7820074558258057	33099814	1.6574432849884033	31869089.965669364	5.67229700088501	30991551.873906437	1	10.987391710281372	32383815.28085307	0.3808624744415283	32340188	1.3456745147705078	30407656
tiny	50	3.5784904956817627	30779498	3.323831796646118	30670291.886643026	10.943275928497314	29949116.79576345	1	21.5514235496521	30439104.388741005	0.7522711753845215	30109234	2.684141159057617	29668850
tiny	100	7.133650064468384	28791928	7.093310117721558	28285325.929515786	22.193079710006714	27680456.58835947	1	43.699883460998535	29471108.878007524	1.509094476699829	28044104	5.904357671737671	27853132
PBMC	10	24.500254154205322	256823584	6.671100854873657	256500600	23.92115545272827	251758122	1	61.76531004905701	213081799.781243	0.4321720600128174	210457616	1.489694595336914	205892800
PBMC	25	59.46875619888306	239375280	15.73809003829956	233131900	54.52900052070618	223732682	1	144.16322112083435	183251655.18714005	1.070692539215088	185288672	3.3773162364959717	175582528
PBMC	50	146.52754831314087	219785488	34.462316036224365	219867168	107.64081120491028	216514212	1	317.1045379638672	166793109.7493587	2.939056634902954	169444032	7.503862142562866	160395120
PBMC	100	299.96802043914795	207628512	74.11512899398804	212231627	226.45400094985962	203239076	1	668.4043786525726	154997407.06827855	4.51143479347229	156740080	15.06414794921875	149886688
Cao2m	10	1235.50470495224	7566823424	253.26957082748413	5339504368	978.6432764530182	6023815587	1	2821.2229387760162	3545814573.6207385	13.897488832473755	3792160256	46.97278571128845	3309378048
Cao2m	25	3187.147631406784	5190509056	688.0847165584564	5341394240	2261.357925415039	5261501865	1	6857.391180753708	3249440703.3641825	35.3100106716156	2961890048	110.1854248046875	3131355392
Cao2m	50	5733.842522621155	4892570112	1338.5684559345245	4870948072	4184.66809129715	4721098507	1	12586.008360147476	2892886923.24184	66.9175808429718	2949049344	217.94232654571533	2744445184
Cao2m	100	11892.845037221909	4702390272	2804.728980779648	4762436054	9160.475860357285	4532971631	1	26937.8338265419	2636658024.469649	139.4793839454651	2586044672	436.74882912635803	2574681600
Cao4m	10	4350.808357477188	26065649664	478.83793544769287	26043254378	2158.429937839508	23544446891	1	7863.253178596497	17376634831.250168	31.897897243499756	17131969536	110.01232051849365	16753942528
Cao4m	25	10160.665197134018	20161505280	1378.2409768104553	20254676872	6839.505875349045	19460333460	1	19889.981575727463	14501495878.935879	71.25841474533081	14310378496	235.75049543380737	12903795712
Cao4m	50	17937.878549814224	18568327168	5229.030978679657	19067851484	14629.392408132553	17728640799	1	41450.849923849106	12561306354.182291	156.8782560825348	11986357248	482.9609432220459	12025348096
Cao4m	100	40560.60193824768	17040029696	8085.916668653488	16714377827	22974.575412988663	16448295813	1	79269.90392756462	10446980861.068647	285.76307916641235	10901405696	913.18878865242	10220542976
