#NumberSamples	NumFeat	K	MCTime_s	PCTime_s	MCCost	PCCost
50000	5	5	0.015079975128173828	0.09000444412231445	411485.94	533982.3058420224
50000	5	25	0.07158017158508301	0.9973680973052979	207784.28	211355.96228637
50000	5	50	0.15115809440612793	3.042341947555542	136194.73	143901.63100542084
50000	50	5	0.020660877227783203	0.22830677032470703	4566582.0	5092462.502849808
50000	50	25	0.09708309173583984	5.156617164611816	3747882.8	3882780.3547946443
50000	50	50	0.19276714324951172	20.283198356628418	3650609.8	3743402.465127082
50000	500	5	0.11679267883300781	1.7969980239868164	48360440.0	49654570.05861972
50000	500	25	0.5135273933410645	49.97912359237671	46191988.0	46687964.28181237
50000	500	50	0.9992032051086426	203.6180031299591	45333068.0	46082418.59996594
50000	5000	5	1.0620155334472656	17.46998167037964	495532900.0	497898283.8614329
50000	5000	25	4.641367197036743	504.3122639656067	489691100.0	490549663.8393108
50000	5000	50	9.015012502670288	2043.0641334056854	484747040.0	486845615.489132
100	5	5	0.00016570091247558594	0.005875349044799805	823.1641	658.4762422361551
100	5	25	0.00024175643920898438	0.0068721771240234375	235.15483	242.68443485494484
100	5	50	0.00039768218994140625	0.0239107608795166	102.49165	96.67165559113509
100	50	5	0.00010013580322265625	0.0007681846618652344	9185.029	9091.011381283417
100	50	25	0.00026416778564453125	0.010595321655273438	5721.6997	5788.379871877459
100	50	50	0.0004699230194091797	0.03843522071838379	3476.467	3510.1790720432105
100	500	5	0.00020694732666015625	0.0018248558044433594	92474.13	94231.15591476162
100	500	25	0.0007281303405761719	0.03976130485534668	68287.75	68415.61848909862
100	500	50	0.0013699531555175781	0.15702033042907715	45717.715	45525.39531034054
100	5000	5	0.0014693737030029297	0.01487588882446289	955656.0	954252.5505880243
100	5000	25	0.006019115447998047	0.3376739025115967	731776.44	733910.4305415775
100	5000	50	0.009133338928222656	1.3687427043914795	485063.66	484956.4350704928
10000	5	5	0.002891063690185547	0.013935565948486328	79635.83	69456.09105434062
10000	5	25	0.014406442642211914	0.1935899257659912	37099.066	44326.44138033571
10000	5	50	0.029991865158081055	0.6218047142028809	27370.504	27867.662795775774
10000	50	5	0.0038094520568847656	0.02873849868774414	985282.0	926930.3386909016
10000	50	25	0.018084287643432617	0.47661447525024414	767252.5	809488.8079108375
10000	50	50	0.03887438774108887	1.7665913105010986	700560.1	758066.4370804126
10000	500	5	0.02203989028930664	0.36359143257141113	9541156.0	10079134.604367143
10000	500	25	0.09488391876220703	9.915408372879028	9151999.0	9404006.759138227
10000	500	50	0.18546104431152344	40.350342988967896	9067282.0	9143264.361691914
10000	5000	5	0.21249985694885254	3.5004005432128906	100121940.0	98704936.71968308
10000	5000	25	0.9279062747955322	100.33631253242493	97078420.0	97947886.21368828
10000	5000	50	1.8153786659240723	408.74910283088684	96677900.0	96813951.85978061
