#NumberSamples	NumFeat	K	MCTime_s	PCTime_s	MCCost	PCCost
50000	5	5	0.021414995193481445	0.17382216453552246	477786.06	415587.283286326
50000	5	25	0.1077723503112793	1.33497953414917	207423.7	228042.2306552156
50000	5	50	0.18082284927368164	3.732609510421753	141682.77	154129.67894590323
50000	50	5	0.02813887596130371	0.47277379035949707	4478836.0	4649584.877195201
50000	50	25	0.11643266677856445	11.512638092041016	3804586.5	4081927.5937130507
50000	50	50	0.21667194366455078	45.7548189163208	3733855.8	3758339.3713217997
50000	500	5	0.547935962677002	4.5494091510772705	48760476.0	48421003.84209318
50000	500	25	0.8564012050628662	125.53755688667297	46282116.0	46925265.64428213
50000	500	50	1.5161852836608887	467.6432137489319	45191976.0	46492777.06873926
50000	5000	5	2.1748275756835938	56.0254180431366	501069730.0	500304341.98119116
50000	5000	25	11.913449764251709	1699.0748708248138	488971100.0	489474095.0896581
50000	5000	50	20.69236969947815	7764.770138502121	482189470.0	487415015.556329
100	5	5	0.0005705356597900391	0.37102460861206055	848.9687	1044.038543329118
100	5	25	0.00041031837463378906	0.00939178466796875	295.0423	267.6182802556022
100	5	50	0.0005509853363037109	0.03205537796020508	127.70489	110.07702309771767
100	50	5	0.00011086463928222656	0.0009455680847167969	8287.1455	9289.15267166206
100	50	25	0.0003287792205810547	0.012711286544799805	5718.1445	6045.585756478219
100	50	50	0.0011341571807861328	0.08305168151855469	3460.914	3371.893538625054
100	500	5	0.0002903938293457031	0.002534627914428711	91410.48	93844.94435371079
100	500	25	0.0010471343994140625	0.0561373233795166	68829.18	69764.03578954477
100	500	50	0.0019421577453613281	0.21873879432678223	44693.625	44854.71715201057
100	5000	5	0.001649618148803711	0.0203402042388916	943203.2	947327.7185191218
100	5000	25	0.006659984588623047	0.5830593109130859	732694.8	735206.7433252344
100	5000	50	0.016982078552246094	2.3081512451171875	483524.25	482096.5472669935
10000	5	5	0.004482746124267578	0.02314901351928711	73739.71	79259.2160635071
10000	5	25	0.035058021545410156	0.28809595108032227	37661.914	38533.74965059608
10000	5	50	0.04075169563293457	0.8458423614501953	27227.22	30610.01721978515
10000	50	5	0.006409168243408203	0.0440213680267334	897522.56	866660.6934540691
10000	50	25	0.04590892791748047	0.7927358150482178	731009.8	800212.6474715406
10000	50	50	0.042437076568603516	2.485954523086548	717360.9	763888.1069860692
10000	500	5	0.03386521339416504	0.9383230209350586	9885063.0	9810268.75940606
10000	500	25	0.12465524673461914	25.894396543502808	9320040.0	9302434.205394773
10000	500	50	0.28882718086242676	97.50405359268188	9034052.0	9184080.026664823
10000	5000	5	0.42534399032592773	9.500146627426147	99842880.0	100216179.39020783
10000	5000	25	2.2875475883483887	308.65466809272766	97372260.0	97490747.61129235
10000	5000	50	4.787569999694824	1089.2825469970703	96301304.0	97294326.41397764
250000	5	5	0.08922743797302246	0.5445804595947266	1661313.0	1797447.3933832021
250000	5	25	0.41946864128112793	6.362576961517334	986833.3	999863.776330355
250000	5	50	0.8644332885742188	20.599345445632935	783794.3	746156.6608002706
250000	50	5	0.14060735702514648	2.308197021484375	24130138.0	22009677.260425195
250000	50	25	0.6482889652252197	58.915931701660156	19462786.0	19817484.923152447
250000	50	50	1.2754952907562256	235.4640760421753	17922958.0	18617671.99162269
250000	500	5	0.8264803886413574	24.474875450134277	246548020.0	247313896.28442627
250000	500	25	3.8364529609680176	810.0495970249176	229706820.0	233494073.5207647
250000	500	50	7.757057189941406	3270.2035694122314	225187280.0	232219874.75697657
250000	5000	5	13.48608922958374	267.99873065948486	2488544500.0	2495656810.7235637
250000	5000	25	59.39671230316162	10113.795758247375	2441357800.0	2453777492.4222503
250000	5000	50	172.06592679023743	35188.82365107536	2426516500.0	2441784431.2449145
